airport_id,airport_code,airport_name,address,city,state,longitude,latitude
10135,ABE, Lehigh Valley International,3311 Airport Rd,Allentown,PA,-75.4404,40.65236
10136,ABI, Abilene Regional,2933 Airport Blvd,Abilene,TX,-99.6819,32.41132
10139,ABL, Ambler River,,Ambler,AK,-157.85747,67.10631
10140,ABQ, Albuquerque International Sunport,2200 Sunport Blvd SE,Albuquerque,NM,-106.60919,35.04022
10141,ABR, Aberdeen Regional,123 S Lincoln St,Aberdeen,SD,-98.42183,45.44906
10146,ABY, Southwest Georgia Regional,3905 Newton Rd,Albany,GA,-84.19447,31.53552
10154,ACK, Nantucket Memorial,14 Airport Rd,Nantucket,MA,-70.06018,41.25305
10155,ACT, Waco Regional,7909 Karl May Dr,Waco,TX,-97.23052,31.61129
10157,ACV, California Redwood Coast Humboldt County,3561 Boeing Ave,McKinleyville,CA,-124.10862,40.97812
10158,ACY, Atlantic City International,Atlantic City International Airport,Atlantic City (Egg Harbor Twp),NJ,-74.57717,39.45758
10165,ADK, Adak,,Adak Island,AK,-176.64603,51.87796
10184,AET, Allakaket Airport,,Allakaket,AK,-152.62216,66.55182
10185,AEX, Alexandria International,1611 Arnold Dr,Alexandria,LA,-92.54856,31.32737
10204,AGN, Angoon Seaplane Base,,Angoon,AK,-134.58509,57.50356
10208,AGS, Augusta Regional at Bush Field,1501 Aviation Way,Augusta,GA,-81.9645,33.36994
10216,AHN, Athens/Ben Epps,1010 Ben Epps Dr,Athens,GA,-83.32635,33.9486
10221,AIA, Alliance Municipal,5631 Sarpy Rd,Alliance,NE,-102.80377,42.05323
10225,AIN, Wainwright Airport,,Wainwright,AK,-159.99475,70.638
10237,AKB, Atka Airport,,Atka,AK,-174.20635,52.22035
10241,AKI, Akiak Airport,,Akiak,AK,-161.23058,60.90289
10243,AKK, Akhiok Airport,1500 Anton Larson Rd,Akhihok,AK,-154.18256,56.93869
10245,AKN, King Salmon Airport,Mile 1 Alaska Peninsula Hwy,King Salmon,AK,-156.64922,58.6768
10247,AKP, Anaktuvuk Pass Airport,,Anaktuvuk Pass,AK,-151.74334,68.1336
